0nce|once
100ked|looked
100ping|looping
100sely|loosely
10cated|located
10ng|long
111ness|illness
13ut|but
14c|he
14e|he
1arge|large
1ast|last
1ate|late
1ife|life
2ovemment|government
5h0uld|should
5huffling|shuffling
6f|of
77ie|the
7be|the
7hen|then
7here|there
7he|the
7his|this
7le|the
7me|the
a11|all
a6out|about
a7id|and
abelt|a belt
abilitv|ability
abilltv|ability
ablc|able
ableto|able to
aboiit|about
abolit|about
abollt|about
aboming|aborning
aborter|shorter
abotit|about
aboutenough|about enough
abouther|about her
abouti|about i
abouttheir|about their
aboutthem|about them
aboutthe|about the
aboutthis|about this
abouttwice|about twice
abou|about
abovealmost|above almost
aboveaverage|above average
abovementioned|above mentioned
abruptlv|abruptly
absencefor|absence for
absorband|absorb and
abstractedunless|abstracted unless
acccpt|accept
acceptcollect|accept collect
acceptedthat|accepted that
accommodatmg|accommodating
accompamed|accompanied
accotintabilitv|accountability
achefor|ache for
achieyed|achieved
achristmas|a christmas
ackage|package
ackets|jackets
ackground|background
acknife|jacknife
acknowiedgmenn|acknowledgements
acoess|access
acom|acorn
acquaintedbut|acquainted but
acrdss|across
acrossfrom|across from
acte|acre
actingshe|acting she
actioii|action
actionsfirom|actions from
activeduty|active duty
activitywhich|activity which
actuafly|actually
actuallyno|actually no
acually|actually
acudemy|academy
adda|had dad
addifionally|additionally
addrersing|addressing
ade|made
adi|all
adjoum|adjourn
admiii|admin
admiml|admiral
admiwstrators|administrators
adniiral|admiral
adntiral|admiral
adomed|adorned
adriiiral|admiral
adrniml|admiral
adrriinistration|administration
adulterybut|adultery but
adultwhen|adult when
adventureswere|adventures were
aercrpxt|aircraft
afew|a few
affairsnot|affairs not
affairsuch|affair such
affangement|arrangement
affayed|arrayed
affeet|affect
affested|arrested
affiidships|a midships
affived|arrived
affns|arms
affogance|arrogance
aff|all
afier|after
afive|alive
aflernoon|afternoon
aflotment|allotment
aflowed|allowed
aflowing|allowing
afl|all
afmid|afraid
afountain|a fountain
aframedprint|a framed print
afrernoon|afternoon
afriend|a friend
aftaid|afraid
aftemoonone|afternoon one
aftemoons|afternoons
aftemoon|afternoon
afterand|after and
afterbumers|afterburners
afterdinner|after dinner
afternoise|after noise
aftershock|after shock
aftertheir|after their
aftet|after
aftomey|attorney
ag4in|again
agahist|against
