 //                   (Single Line Comment)                                   /1   //comment*
 /*                   (Multi Line Comment)                                    /2   *
 AbandonEditor()      (Exit Editor--No Save)                                  N    *
 AbandonFile()        (Exit File--No Save)                                    O    AbandonFile([INTEGER buffer_id])*
 Abs()                (Absolute Value of Integer Expression)                  R    Abs(INTEGER i)*
 AddHistoryStr()      (Add String to History List)                            R    AddHistoryStr(STRING s, INTEGER history_num)*
 AddLine()            (Add Line After Current Line)                           O    AddLine([STRING text])*
 Alarm()              (Beep PC's Speaker)                                     N    *
 Asc()                (ASCII Integer Value of Single Character)               R    Asc(STRING s)*
 Ask()                (Get String Input From User)                            R    Ask(STRING prompt, VAR STRING reply [, INTEGER history_number])*
 BackSpace()          (Backspaces Cursor)                                     N    *
 BegFile()            (Move Cursor to Row 1, Column 1)                        N    *
 BegLine()            (Move Cursor to Column 1)                               N    *
 BegWindow()          (Move Cursor to Top Line in Current Window)             N    *
 BegWord()            (Move Cursor to Beginning of Current Word)              N    *
 binary               (Binary Statement)                                      B2   binary binary_file*
 break                (Break Statement)                                       B1   *
 case                 (Case/When/Otherwise/Endcase Statements)                C1   case case_expression*
 ChangeCurrFilename() (Change Name of Current File to a New Name)             O    ChangeCurrFilename([STRING new_name])*
 Chr()                (Get Single Character Equivalent of an Integer)         R    Chr(INTEGER i)*
 ChrSet()             (Get Encoded Set of Characters)                         R    ChrSet(STRING s)*
 ClosePrint()         (Closes the Print Device if Opened as a File)           N    *
 CloseWindow()        (Close the Current Editing Window)                      N    *
 ClrEol()             (Clear From Cursor Position to End Of Line)             N    *
 ClrScr()             (Clear Current Window)                                  N    *
 Color()              (Get Integer Value of Requested Color Combination)      R    Color([BLINK] [BRIGHT] foreground [ON background])*
 Copy()               (Copies the Marked Block to the ClipBoard)              O    Copy([INTEGER append])*
 CopyBlock()          (Copy the Marked Block to Current Cursor Position)      O    CopyBlock([INTEGER overlay])*
 CreateBuffer()       (Creates a New Buffer in Memory)                        R    CreateBuffer(STRING fn [, INTEGER type])*
 CreateTempBuffer()   (Creates a Temporary System Buffer)                     N    *
 CReturn()            (Performs a Carriage Return at Current Cursor Position) N    *
 CurrChar()           (Get the Integer Value of Character at Cursor Position) N    *
 CurrCol()            (Get the Number of Current Column Position)             N    *
 CurrFilename()       (Get Full Name of Current Buffer)                       N    *
 CurrLine()           (Get the Number of Current Line)                        N    *
 CurrLineLen()        (Get the Length of Current Line)                        N    *
 CurrMacroFilename()  (Get the Filename of Currently Executing Macro)         N    *
 CurPos()             (Get the Current Position on the Current Line)          N    *
 CurrRow()            (Get the Current Cursor Row Releative to Window)        N    *
 CurrXoffset()        (Get the Number of Columns Current Window is Scrolled)  N    *
 Cut()                (Cuts Marked Block to the ClipBoard)                    O    Cut([INTEGER append])*
 data                 (Data Statement)                                        D1   data data_name*
 Delay()              (Pauses for the Amount of Time Specified)               R    Delay(INTEGER duration 1/18 seconds)*
 DelBlock()           (Deletes Marked Block if it Exists in the Current File) N    *
 DelChar()            (Deletes the Character at the Cursor Position)          N    *
 DelHistory()         (Deletes all History Associated with History Number)    R    DelHistory(INTEGER history_num)*
 DelLeftWord()        (Deletes the Word to the Left of the Cursor)            N    *
 DelLine()            (Deletes the Current Line)                              N    *
 DelRightWord()       (Deletes the Word to the Right of the Cursor)           N    *
 DelToEol()           (Deletes the Text From Current Position to End of Line) N    *
 DelWindow()          (Deletes an Adjacent Editing Window)                    N    *
 Disable()            (Disables a Previously Enabled Key Definition)          R    Disable(KEYDEF keydef_name)*
 DistanceToTab()      (Get Distance to Next/Previous Tab)                     O    DistanceToTab([INTEGER right])*
 Dos()                (Passes a Command to the Operating System)              O    Dos([STRING command [, INTEGER flag]])*
 Down()               (Moves Cursor Down One Line in the Current File)        N    *
 DrawBox()            (Draws a Box Around the Current Window)                 R    DrawBox(INTEGER boxtype, INTEGER attribute)*
 DupLine()            (Makes a Copy of Current Line)                          N    *
 EditFile()           (Loads a File Into the Editor and Makes it Current File)O    EditFile([STRING fn [STRING fn]...])*
 elseif               (Elseif Statement)                                      E1   elseif numeric_expression*
 EmptyBuffer()        (Deletes all the Text in the Current Buffer)            N    *
 Enable()             (Activates the Specified Set of Key Definitions)        R    Enable(KEYDEF keydef_name [, INTEGER exclusive]*
 EndFile()            (Moves to the End of the Last Line of Current File)     N    *
 EndLine()            (Moves to the End of the Current Line)                  N    *
 EndProcess()         (Terminates the Current Process)                        N    *
 EndWindow()          (Moves to the Bottom Line of the Current Window)        N    *
 EndWord()            (Moves to the End of the Current Word)                  N    *
