  AA MCN     CEDAR NDB, THOMSON, GA
  AB MCN     PUTNY NDB, ALBANY, GA
  AM FTW     PANDE NDB, AMARILLO, TX
  AM PIE     PICNY NDB, TAMPA, FL
  AP DEN     CASSE NDB, DENVER, CO
  AQ GRB     KOOKY NDB, APPLETON, WI
  BH ANB     MCDEN NDB, BIRMINGHAM, AL
  BL STL     BELLEVILLE NDB, BELLEVILLE, IL
  BO BOI     USTIK NDB, BOISE, ID
  BT LAN     BATOL NDB, BATTLE CREEK, MI
  BX DRI     CARMA NDB, BOGALUSA, LA
  BZ MCN     BULLO NDB, STATESBORO, GA
  CF DCA     PUBBS NDB, CHESTERFIELD, VA
  CL CLE     HARRI NDB, CLEVELAND, OH
  CO BGR     EPSOM NDB, CONCORD, NH
  CO DEN     PETEY NDB, COLORADO SPRINGS, CO
  DB MCN     CREKE NDB, DUBLIN, GA
  DC DCA     OXONN NDB, WASHINGTON, DC
  DL PNM     PYKLA NDB, DULUTH, MN
  DR DRI     IDDER NDB, DE RIDDER, LA
  DW MLC     OWASO NDB, TULSA, OK
  EE PNM     TAMIE NDB, ALEXANDRIA, MN
  EL ABQ     VALTR NDB, EL PASO, TX
  EL BUF     HALOS NDB, WELLSVILLE, NY
  ET ENA     BETHEL NDB, BETHEL, AK
  EU MMV     FRAKK NDB, EUGENE, OR
  EY DCA     CHESI NDB, CHESAPEAKE, VA
  FF MCN     PECAT NDB, PEACHTREE CITY, GA
  FS HON     ROKKY NDB, SIOUX FALLS, SD
  GC ICT     PIEVE NDB, GARDEN CITY, KS
  GM GRB     TEELS NDB, MILWAUKEE, WI
  GN GNV     WYNDS NDB, GAINESVILLE, FL
  GR SEA     GRAYE NDB, FORT LEWIS TACOMA, WA
  GY AND     DYANA NDB, GREENVILLE, SC
  HF BDR     LOMIS NDB, HARTFORD, CT
  HK IKK     ERMIN NDB, CHICAGO, IL
  HN HNL     EWABE NDB, HONOLULU, HI
  HO JBR     HOSSY NDB, HOT SPRINGS, AR
  HS         ILS, BAY ST LOUIS, MS
  HS GWO     HANCO NDB, BAY ST LOUIS, MS
  HU HUF     YINNO NDB, TERRE HAUTE, IN
  HW DAY     CUBLA NDB, WILMINGTON, OH
  IA MMV     LAKER NDB, PORTLAND, OR
  IC ICT     PICHE NDB, WICHITA, KS
  IL DAY     AIRBO NDB, WILMINGTON, OH
  IL SJT     IRESH NDB, KILLEEN, TX
  IY FOD     CHUKK NDB, CHARLES CITY, IA
  JA GNV     DINNS NDB, JACKSONVILLE, FL
  JE COU     ALGOA NDB, JEFFERSON CITY, MO
  JH GWO     BRENZ NDB, JACKSON, MS
  JN RDU     JURLY NDB, SMITHFIELD, NC
  JU RDU     ASHEE NDB, WEST JEFFERSON, NC
  LC BGR     BLNAP NDB, LACONIA, NH
  LE LOU     BLAYD NDB, LEXINGTON, KY
  LN OLU     POTTS NDB, LINCOLN, NE
  LO BOI     TARGY NDB, WEST YELLOWSTONE, MT
  LQ BDR     LYNDY NDB, BOSTON, MA
  LQ STL     LICOL NDB, SPRINGFIELD, IL
  LV OAK     REIGA NDB, LIVERMORE, CA
  LY DCA     BOJAR NDB, EVINGTON, VA
  MA SJT     FARLY NDB, MIDLAND, TX
  ME GWO     SAVOY NDB, MERIDIAN, MS
  ME IKK     DEANA NDB, CHICAGO, IL
  ME MKL     ELVIS NDB, MEMPHIS, TN
  ME RDU     MAXTN NDB, MAXTON, NC
  MF CLE     MANNS NDB, MANSFIELD, OH
  MK DCA     SUZZE NDB, MARION, VA
  MO ANB     WISLE NDB, MOBILE, AL
  MS DRI     KINTE NDB, NEW ORLEANS, LA
  MS PNM     NARCO NDB, MINNEAPOLIS, MN
  MW SEA     PELLY NDB, MOSES LAKE, WA
  MX IKK     KEDZI NDB, CHICAGO, IL
  MY RIU     HALOW NDB, MARYSVILLE, CA
  OC CXO     NADOS NDB, NACOGDOCHES, TX
  OF OLU     CARSY NDB, NORFOLK, NE
  OI OLU     TOMMI NDB, JACKSON, NE
  OK MLC     TULOO NDB, TULAKES, OK
  OM OLU     GERFI NDB, OMAHA, NE
  ON BNA     MUSIC NDB, SPRINGFIELD, TN
  OP ISP     OLD FIELD POINT LIGHT NDB, OLD FIELD POINT LIGHT, NY
  OP MCN     YATES NDB, THOMASTON, GA
  OX DCA     LANDY NDB, OCEAN CITY, MD
  PI IKK     TUNGG NDB, PEORIA, IL
  PN MLC     PONCA NDB, PONCA CITY, OK
  RA GRB     PASER NDB, RACINE, WI
  RA HON     RANCH NDB, RAPID CITY, SD
  RK DCA     WALEY NDB, SUFFOLK, VA
  RL BGR     BRACY NDB, WATERVILLE, ME
  RN BNA     WARRI NDB, MC MINNVILLE, TN
  RU RDU     ROVDY NDB, SALISBURY, NC
  RV IPT     STROH NDB, REEDSVILLE, PA
  SB RAL     PETIS NDB, SAN BERNADINO, CA
  SE ANB     POLLK NDB, SELMA, AL
  SJ SJU     PATTY NDB, SAN JUAN, PR
  SN HNL     SAIPAN NDB, SAIPAN I/MARIANA I, CQ
  SP STL     HUSKK NDB, SPRINGFIELD, IL
  SU OLU     SALIX NDB, SIOUX CITY, IA
  SW ISP     NEELY NDB, NEWBURGH, NY
  TF DEN     ARUBA NDB, PUEBLO, CO
  TL GNV     WAKUL NDB, TALLAHASSEE, FL
  TM MCN     TIFTO NDB, TIFTON, GA
  TO ANB     BLOOD NDB, TROY, AL
  TO ICT     BILOY NDB, TOPEKA, KS
  TT RDU     LEECO NDB, SANFORD, NC
  TV DRI     SAVRY NDB, VICKSBURG/TALLULAH, LA
  TV LAN     GWENN NDB, TRAVERSE CITY, MI
  TZ DCA     COGAN NDB, WINCHESTER, VA
  UC MKL     OBION NDB, UNION CITY, TN
  UV DCA     BALES NDB, MARTINSVILLE, VA
  UZ AND     RALLY NDB, ROCK HILL, SC
  VJ DCA     WHINE NDB, ABINGDON, VA
  VP HUF     SEDLY NDB, VALPARAISO, IN
  VV AOO     CAMOR NDB, CONNELLSVILLE, PA
  VV MCN     JUNNE NDB, GREENSBORO, GA
  VW RDU     TEMKY NDB, STATESVILLE, NC
  XW LOU     FLMNG NDB, FLEMINGSBURG, KY
  YP HNL     YAP NDB/DME, YAP ISLAND, TQ
 00A IPT ZDC TOTAL RF HELIPORT, BENSALEM, PA
 00C DEN ZDV ANIMAS AIR PARK ARPT, DURANGO, CO
 00M GWO ZME THIGPEN FIELD ARPT, BAY SPRINGS, MS
 00N MIV ZDC BUCKS ARPT, BRIDGETON, NJ
 00R CXO ZHU LIVINGSTON MUNI ARPT, LIVINGSTON, TX
 00S MMV ZSE MC KENZIE BRIDGE STATE ARPT, MC KENZIE BRIDGE, OR
 00V DEN ZDV MEADOW LAKE ARPT, COLORADO SPRINGS, CO
 00W SEA ZSE LOWER GRANITE STATE ARPT, COLFAX, WA
 00Z         GEOREF PT., NIHOA ISLAND, HI
 01A FAI ZAN PURKEYPILE ARPT, PURKEYPILE, AK
 01C LAN ZAU GRANT ARPT, GRANT, MI
 01G BUF ZOB PERRY-WARSAW ARPT, PERRY, NY
 01J GNV ZJX HILLIARD AIRPARK ARPT, HILLIARD, FL
 01K ICT ZKC CALDWELL MUNI ARPT, CALDWELL, KS
 01M GWO ZME TISHOMINGO COUNTY ARPT, BELMONT, MS
 01T         HIGH ISLAND SOUTH ADDITION BLOCK 511 SAWRS, GULF OF MEXICO, OG
 01U RNO ZLC DUCKWATER ARPT, DUCKWATER, NV
 01Z         GEOREF PT., KAULA ROCK, HI
 02A ANB ZTL GRAGG-WADE FIELD ARPT, CLANTON, AL
 02C GRB ZAU CAPITOL ARPT, BROOKFIELD, WI
 02G CLE ZOB COLUMBIANA COUNTY ARPT, EAST LIVERPOOL, OH
 02P IPT ZNY STOTTLE MEMORIAL HELIPORT, HONEY GROVE, PA
 02R         ENGLAND AFB,PEASON RIDGE GUNNERY RANGE IRREGULAR WOS,ALEXANDRIA, LA
 02T GTF ZLC WISE RIVER ARPT, WISE RIVER, MT
 02Z         GEOREF PT., LEHUA ISLAND, HI
 03B COU ZKC MANSFIELD MUNI ARPT, MANSFIELD, MO
 03D COU ZKC MEMPHIS MEMORIAL ARPT, MEMPHIS, MO
 03I DAY ZID CLARKS DREAM STRIP ARPT, CIRCLEVILLE, OH
 03M BGR ZBW LAKESIDE MARINA SPB, EAST WINTHROP, ME
 03N HNL ZHN UTIRIK ARPT, UTIRIK ISLAND, MH
 03S MMV ZSE SANDY RIVER ARPT, SANDY, OR
 03Z         GEOREF PT., NIIHAU ISLAND, HI
 04A ANB ZJX FRANK SIKES ARPT, LUVERNE, AL
 04F FTW ZFW DE LEON MUNI ARPT, DE LEON, TX
 04G CLE ZOB LANSDOWNE ARPT, YOUNGSTOWN, OH
 04I DAY ZID COLUMBUS SOUTHWEST ARPT, COLUMBUS, OH
 04M GWO ZME CALHOUN COUNTY ARPT, PITTSBORO, MS
 04V DEN ZDV SAGUACHE MUNI ARPT, SAGUACHE, CO
 04W PNM ZMP FIELD OF DREAMS ARPT, HINCKLEY, MN
 04Y PNM ZMP HAWLEY MUNI ARPT, HAWLEY, MN
 04Z         GEOREF PT., HANALEI AIRSTRIP,KAUAI, HI
 05B BGR ZBW VAN BUREN SPB, VAN BUREN, ME
 05C HUF ZAU GRIFFITH-MERRILLVILLE ARPT, GRIFFITH, IN
 05D GFK ZMP NEW TOWN MUNI ARPT, NEW TOWN, ND
 05M MLC ZFW PAULS VALLEY GENERAL HOSPITAL HELIPORT, PAULS VALLEY, OK
 05S MMV ZSE VERNONIA AIRFIELD ARPT, VERNONIA, OR
 05U RNO ZLC EUREKA ARPT, EUREKA, NV
 05V DEN ZDV BLANCA ARPT, BLANCA, CO
 05Y PNM ZMP HENNING MUNI ARPT, HENNING, MN
 05Z         GEOREF PT., KILAUEA POINT,KAUAI, HI
 06A ANB ZTL MOTON FIELD MUNI ARPT, TUSKEGEE, AL
 06B BGR ZBW LUCKY LANDING MARINA AND SPB SPB, BANGOR, ME
 06C IKK ZAU SCHAUMBURG REGIONAL ARPT, CHICAGO/SCHAUMBURG, IL
 06D GFK     ROLLA RCO, ROLLA, ND
 06D GFK ZMP ROLLA MUNI ARPT, ROLLA, ND
 06I HUF ZID PATOKA RESERVOIR LANDING AREA SPB, FRENCH LICK, IN
 06M GWO ZME EUPORA ARPT, EUPORA, MS
 06N ISP ZNY RANDALL ARPT, MIDDLETOWN, NY
 06R CXO ZHU GRAWUNDER FIELD ARPT, BELLVILLE, TX
 06U RNO     JACKPOT RCO, JACKPOT, NV
 06U RNO ZLC JACKPOT/HAYDEN FIELD ARPT, JACKPOT, NV
 06Y PNM ZMP HERMAN MUNI ARPT, HERMAN, MN
 06Z         GEOREF PT., KAHALA POINT, KAUAI, HI
 07A ANB ZTL FRANKLIN FIELD ARPT, UNION SPRINGS, AL
 07B BGR ZBW BLUE HILL ARPT, BLUE HILL, ME
 07D LAN ZOB TACKABERRY ARPT, AVOCA, MI
 07F FTW ZFW GLADEWATER MUNI ARPT, GLADEWATER, TX
 07I HUF ZID LAKE MONROE SPB, BLOOMINGTON, IN
 07K OLU     CENTRAL CITY MUNI - LARRY REINEKE FIELD ARPT, CENTRAL CITY, NE
 07K OLU ZMP CENTRAL CITY MUNI - LARRY REINEKE FIELD ARPT, CENTRAL CITY, NE
